[PDE] ENT_NAME,[PDE] VAR_NAME,[PDE] VAR_BUSNAME,[PDE] VAR_DESCRIPTION,[PDE] VAR_USAGE,Name,Source,Construct,Construct Referent,Construct Form,Construct Framework,Performance Type,SDAD VAR_NAME,Data Type,Item Stem,Item Text,Item Number,Operational Definition,Item Definition,Response Format,Response Values,Reverse Coded,Source Scale,Citation,Comments,EDA Performed,Obs.N,Obs.%NA,nbr.val.unique,Freq.Category,Obs.Min,Obs.Max,Obs.Median,Obs. Mean,Obs.Mean.CI95,Obs.SD,Obs.Skew,Obs.Kurtosis,Obs. Normality.K2,Obs.Q-Q.Plot,Obs.Bar.Histo.Den,Obs.Box.Plot,Obs.Scale.Reliability,Obs.N,Obs.%NA,nbr.val.unique,Freq.Category,Obs.Min,Obs.Max,Obs.Median,Obs. Mean,Obs.Mean.CI95,Obs.SD,Obs.Skew,Obs.Kurtosis,Obs. Normality.K2,Obs.Q-Q.Plot,Obs.Bar.Histo.Den,Obs.Box.Plot,Obs.Scale.Reliability
GAT_SOLDIERS_V2,Q71,"Emotional Fitness, Bad Coping (Bottling Up), Q71","How well do these statements describe you? - When something stresses me out, I try to avoid it or not think about it.",Scored: Yes,GAT 1.0 (Soldier),ASRRD,"bad coping (passive, emotion-based)",individual,perceptual,trait,na,Q71.t(1-5),designed,How well do these statements describe you?,"When something stresses me out, I try to avoid it or not think about it.",Q71,"Assesses passive, emotion-focused coping strategies that involve venting or displacement and disengagement. ",,likert,"23 = 5 = Not like me at all -> 5; 
24 = 4 = A little like me -> 4;
25 = 3 = Somewhat like me -> 3;
26 = 2 = Mostly like me -> 2;
27 = 1 = Very much like me -> 1;",yes,Coping Strategy Scales ,"Carver, Scheier, & Weutraub (1989); Peterson & Park (in press) ",emotion-focused coping (bad is a misnomer),Yes,"T1: 52790
T2: 22336
T3: 9434
T4: 2671
T5: 361","T1: 0.004%
T2: 57.691%
T3: 82.130%
T4: 94.941%
T5: 99.316%","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5",na,"T1: 1
T2: 1
T3: 1
T4: 1
T5: 1","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5","T1: 3
T2: 3
T3: 3
T4: 3
T5: 3","T1: 2.976
T2: 3.007
T3: 3.032
T4: 3.086
T5: 3.053","T1: 0.011
T2: 0.017
T3: 0.025
T4: 0.048
T5: 0.132","T1: 1.275
T2: 1.256
T3: 1.258
T4: 1.272
T5: 1.272","T1: 0.022
T2: 0.008
T3: -0.009
T4: -0.042
T5: -0.018","T1: 1.970
T2: 2.026
T3: 2.019
T4: 2.011
T5: 2.021","T1: 14303.607***
T2: 4453.483***
T3: 1950.376***
T4: 565.096***
T5: 62.385***",qq,histogram,box,na,,,,,,,,,,,,,,,,,
GAT_SOLDIERS_V2,Q76,"Emotional Fitness, Bad Coping (Bottling Up), Q76",How well do these statements describe you? - I usually keep my emotions to myself.,Scored: Yes,GAT 1.0 (Soldier),ASRRD,"bad coping (passive, emotion-based)",individual,perceptual,trait,na,Q76.t(1-5),designed,How well do these statements describe you?,I usually keep my emotions to myself.,Q76,"Assesses passive, emotion-focused coping strategies that involve venting or displacement and disengagement. ",,likert,"23 = 5 = Not like me at all -> 5; 
24 = 4 = A little like me -> 4;
25 = 3 = Somewhat like me -> 3;
26 = 2 = Mostly like me -> 2;
27 = 1 = Very much like me -> 1;",yes,Coping Strategy Scales ,"Carver, Scheier, & Weutraub (1989); Peterson & Park (in press) ",emotion-focused coping (bad is a misnomer),Yes,"T1: 52790
T2: 22336
T3: 9434
T4: 2671
T5: 361","T1: 0.004%
T2: 57.691%
T3: 82.130%
T4: 94.941%
T5: 99.316%","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5",na,"T1: 1
T2: 1
T3: 1
T4: 1
T5: 1","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5","T1: 2
T2: 2
T3: 2
T4: 2
T5: 2","T1: 2.225
T2: 2.340
T3: 2.409
T4: 2.458
T5: 2.485","T1: 0.010
T2: 0.015
T3: 0.024
T4: 0.045
T5: 0.123","T1: 1.152
T2: 1.169
T3: 1.182
T4: 1.197
T5: 1.183","T1: 0.652
T2: 0.534
T3: 0.473
T4: 0.472
T5: 0.414","T1: 2.566
T2: 2.431
T3: 2.366
T4: 2.380
T5: 2.272","T1: 3833.094***
T2: 1557.101***
T3: 679.830***
T4: 184.560***
T5: 29.343***",qq,histogram,box,na,,,,,,,,,,,,,,,,,
GAT_SOLDIERS_V2,Q79,"Emotional Fitness, Bad Coping (Bottling Up), Q79","How well do these statements describe you? - When I am feeling upset, I keep my feelings to myself.",Scored: Yes,GAT 1.0 (Soldier),ASRRD,"bad coping (passive, emotion-based)",individual,perceptual,trait,na,Q79.t(1-5),designed,How well do these statements describe you?,"When I am feeling upset, I keep my feelings to myself.",Q79,"Assesses passive, emotion-focused coping strategies that involve venting or displacement and disengagement. ",,likert,"23 = 5 = Not like me at all -> 5; 
24 = 4 = A little like me -> 4;
25 = 3 = Somewhat like me -> 3;
26 = 2 = Mostly like me -> 2;
27 = 1 = Very much like me -> 1;",yes,Coping Strategy Scales ,"Carver, Scheier, & Weutraub (1989); Peterson & Park (in press) ",emotion-focused coping (bad is a misnomer),Yes,"T1: 52790
T2: 22336
T3: 9434
T4: 2671
T5: 361","T1: 0.004%
T2: 57.691%
T3: 82.130%
T4: 94.941%
T5: 99.316%","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5",na,"T1: 1
T2: 1
T3: 1
T4: 1
T5: 1","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5","T1: 2
T2: 3
T3: 3
T4: 3
T5: 3","T1: 2.460
T2: 2.583
T3: 2.643
T4: 2.678
T5: 2.684","T1: 0.010
T2: 0.016
T3: 0.025
T4: 0.047
T5: 0.125","T1: 1.200
T2: 1.219
T3: 1.226
T4: 1.227
T5: 1.204","T1: 0.432
T2: 0.329
T3: 0.293
T4: 0.244
T5: 0.347","T1: 2.272
T2: 2.192
T3: 2.185
T4: 2.156
T5: 2.291","T1: 4689.973***
T2: 2354.912***
T3: 985.623***
T4: 300.159***
T5: 24.880***",qq,histogram,box,na,,,,,,,,,,,,,,,,,
GAT_SOLDIERS_V2,Q175,"Emotional Fitness, Catastrophizing, Q175","Answer in terms of how you usually think. - When I fail at something, I give up all hope.",Scored: No,GAT 1.0 (Soldier),ASRRD,catastrophizing,individual,perceptual,trait,na,Q175.t(1-5),designed,Answer in terms of how you usually think.,"When I fail at something, I give up all hope.",Q175,"Assesses the stable, global, and internal attributions (i.e., explanatory style) individuals make in response to negative events.",,likert,"23 = 5 = Not like me at all -> 1; 
24 = 4 = A little like me -> 2;
25 = 3 = Somewhat like me -> 3;
26 = 2 = Mostly like me -> 4;
27 = 1 = Very much like me -> 5;",no,Attributional Style Questionnaire,Peterson et al. (2001) ,,Yes,"T1: 52511
T2: 22219
T3: 9401
T4: 2667
T5: 361","T1: 0.532%
T2: 57.912%
T3: 82.192%
T4: 94.948%
T5: 99.316%","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5",na,"T1: 1
T2: 1
T3: 1
T4: 1
T5: 1","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5","T1: 1
T2: 1
T3: 1
T4: 1
T5: 1","T1: 1.380
T2: 1.436
T3: 1.468
T4: 1.523
T5: 1.562","T1: 0.007
T2: 0.011
T3: 0.018
T4: 0.035
T5: 0.096","T1: 0.785
T2: 0.839
T3: 0.874
T4: 0.917
T5: 0.923","T1: 2.365
T2: 2.108
T3: 2.013
T4: 1.835
T5: 1.715","T1: 8.651
T2: 7.211
T3: 6.683
T4: 5.895
T5: 5.458","T1: 24915.099***
T2: 9078.268***
T3: 3602.365***
T4: 903.935***
T5: 119.661***",qq,histogram,box,na,,,,,,,,,,,,,,,,,
GAT_SOLDIERS_V2,Q176,"Emotional Fitness, Catastrophizing, Q176",Answer in terms of how you usually think. - I respond to stress by making things worse than they are.,Scored: Yes,GAT 1.0 (Soldier),ASRRD,catastrophizing,individual,perceptual,trait,na,Q176.t(1-5),designed,Answer in terms of how you usually think.,I respond to stress by making things worse than they are.,Q176,"Assesses the stable, global, and internal attributions (i.e., explanatory style) individuals make in response to negative events.",,likert,"23 = 5 = Not like me at all -> 1; 
24 = 4 = A little like me -> 2;
25 = 3 = Somewhat like me -> 3;
26 = 2 = Mostly like me -> 4;
27 = 1 = Very much like me -> 5;",no,Attributional Style Questionnaire,Peterson et al. (2001) ,,Yes,"T1: 52791
T2: 22335
T3: 9434
T4: 2671
T5: 361","T1: 0.002%
T2: 57.692%
T3: 82.130%
T4: 94.941%
T5: 99.316%","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5",na,"T1: 1
T2: 1
T3: 1
T4: 1
T5: 1","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5","T1: 1
T2: 1
T3: 1
T4: 1
T5: 1","T1: 1.471
T2: 1.511
T3: 1.553
T4: 1.601
T5: 1.612","T1: 0.007
T2: 0.012
T3: 0.019
T4: 0.037
T5: 0.102","T1: 0.855
T2: 0.893
T3: 0.936
T4: 0.967
T5: 0.983","T1: 2.003
T2: 1.866
T3: 1.775
T4: 1.648
T5: 1.663","T1: 6.763
T2: 6.069
T3: 5.620
T4: 5.097
T5: 5.197","T1: 20164.301***
T2: 7690.233***
T3: 3008.930***
T4: 764.589***
T5: 113.375***",qq,histogram,box,na,,,,,,,,,,,,,,,,,
GAT_SOLDIERS_V2,Q54,"Emotional Fitness, Catastrophizing, Q54","Answer in terms of how you usually think. - When bad things happen to me, I expect more bad things to happen.",Scored: Yes,GAT 1.0 (Soldier),ASRRD,catastrophizing,individual,perceptual,trait,na,Q54.t(1-5),designed,Answer in terms of how you usually think.,"When bad things happen to me, I expect more bad things to happen.",Q54,"Assesses the stable, global, and internal attributions (i.e., explanatory style) individuals make in response to negative events.",,likert,"23 = 5 = Not like me at all -> 1; 
24 = 4 = A little like me -> 2;
25 = 3 = Somewhat like me -> 3;
26 = 2 = Mostly like me -> 4;
27 = 1 = Very much like me -> 5;",no,Attributional Style Questionnaire,Peterson et al. (2001) ,,Yes,"T1: 52791
T2: 22335
T3: 9434
T4: 2671
T5: 361","T1: 0.002%
T2: 57.692%
T3: 82.130%
T4: 94.941%
T5: 99.316%","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5",na,"T1: 1
T2: 1
T3: 1
T4: 1
T5: 1","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5","T1: 2
T2: 2
T3: 2
T4: 2
T5: 2","T1: 2.100
T2: 2.057
T3: 2.075
T4: 2.070
T5: 2.039","T1: 0.010
T2: 0.015
T3: 0.023
T4: 0.044
T5: 0.118","T1: 1.143
T2: 1.135
T3: 1.150
T4: 1.167
T5: 1.140","T1: 0.806
T2: 0.832
T3: 0.832
T4: 0.840
T5: 0.905","T1: 2.764
T2: 2.793
T3: 2.783
T4: 2.749
T5: 2.923","T1: 4620.502***
T2: 2038.899***
T3: 864.461***
T4: 252.035***
T5: 38.681***",qq,histogram,box,na,,,,,,,,,,,,,,,,,
GAT_SOLDIERS_V2,Q55,"Emotional Fitness, Catastrophizing, Q55","Answer in terms of how you usually think. - When bad things happen to me, I blame myself for them.",Scored: No,GAT 1.0 (Soldier),ASRRD,catastrophizing,individual,perceptual,trait,na,Q55.t(1-5),designed,Answer in terms of how you usually think.,"When bad things happen to me, I blame myself for them.",Q55,"Assesses the stable, global, and internal attributions (i.e., explanatory style) individuals make in response to negative events.",,likert,"23 = 5 = Not like me at all -> 1; 
24 = 4 = A little like me -> 2;
25 = 3 = Somewhat like me -> 3;
26 = 2 = Mostly like me -> 4;
27 = 1 = Very much like me -> 5;",no,Attributional Style Questionnaire,Peterson et al. (2001) ,,Yes,"T1: 52511
T2: 22219
T3: 9401
T4: 2667
T5: 361","T1: 0.532%
T2: 57.912%
T3: 82.192%
T4: 94.948%
T5: 99.316%","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5",na,"T1: 1
T2: 1
T3: 1
T4: 1
T5: 1","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5","T1: 2
T2: 2
T3: 2
T4: 2
T5: 2","T1: 2.374
T2: 2.189
T3: 2.152
T4: 2.141
T5: 2.205","T1: 0.010
T2: 0.015
T3: 0.023
T4: 0.044
T5: 0.123","T1: 1.168
T2: 1.130
T3: 1.129
T4: 1.147
T5: 1.191","T1: 0.497
T2: 0.638
T3: 0.686
T4: 0.744
T5: 0.706","T1: 2.378
T2: 2.532
T3: 2.601
T4: 2.696
T5: 2.586","T1: 3840.676***
T2: 1630.060***
T3: 709.307***
T4: 213.421***
T5: 29.303***",qq,histogram,box,na,,,,,,,,,,,,,,,,,
GAT_SOLDIERS_V2,Q56,"Emotional Fitness, Catastrophizing, Q56","Answer in terms of how you usually think. - When bad things happen to me, I cannot stop thinking about how much worse things will get.",Scored: No,GAT 1.0 (Soldier),ASRRD,catastrophizing,individual,perceptual,trait,na,Q56.t(1-5),designed,Answer in terms of how you usually think.,"When bad things happen to me, I cannot stop thinking about how much worse things will get.",Q56,"Assesses the stable, global, and internal attributions (i.e., explanatory style) individuals make in response to negative events.",,likert,"23 = 5 = Not like me at all -> 1; 
24 = 4 = A little like me -> 2;
25 = 3 = Somewhat like me -> 3;
26 = 2 = Mostly like me -> 4;
27 = 1 = Very much like me -> 5;",no,Attributional Style Questionnaire,Peterson et al. (2001) ,,Yes,"T1: 52511
T2: 22219
T3: 9401
T4: 2667
T5: 361","T1: 0.532%
T2: 57.912%
T3: 82.192%
T4: 94.948%
T5: 99.316%","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5",na,"T1: 1
T2: 1
T3: 1
T4: 1
T5: 1","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5","T1: 1
T2: 1
T3: 1
T4: 2
T5: 2","T1: 1.884
T2: 1.857
T3: 1.868
T4: 1.898
T5: 1.950","T1: 0.010
T2: 0.014
T3: 0.022
T4: 0.042
T5: 0.121","T1: 1.108
T2: 1.083
T3: 1.090
T4: 1.096
T5: 1.098","T1: 1.166
T2: 1.149
T3: 1.163
T4: 1.096
T5: 1.098","T1: 3.522
T2: 3.487
T3: 3.548
T4: 3.349
T5: 3.289","T1: 8152.467***
T2: 3368.023***
T3: 1463.775***
T4: 374.269***
T5: 53.277***",qq,histogram,box,na,,,,,,,,,,,,,,,,,
GAT_SOLDIERS_V2,Q57,"Emotional Fitness, Catastrophizing, Q57","Answer in terms of how you usually think. - When I have a physical problem, I am likely to think that it is something very serious.",Scored: No,GAT 1.0 (Soldier),ASRRD,catastrophizing,individual,perceptual,trait,na,Q57.t(1-5),designed,Answer in terms of how you usually think.,"When I have a physical problem, I am likely to think that it is something very serious.",Q57,"Assesses the stable, global, and internal attributions (i.e., explanatory style) individuals make in response to negative events.",,likert,"23 = 5 = Not like me at all -> 1; 
24 = 4 = A little like me -> 2;
25 = 3 = Somewhat like me -> 3;
26 = 2 = Mostly like me -> 4;
27 = 1 = Very much like me -> 5;",no,Attributional Style Questionnaire,Peterson et al. (2001) ,,Yes,"T1: 52511
T2: 22219
T3: 9401
T4: 2667
T5: 361","T1: 0.532%
T2: 57.912%
T3: 82.192%
T4: 94.948%
T5: 99.316%","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5",na,"T1: 1
T2: 1
T3: 1
T4: 1
T5: 1","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5","T1: 2
T2: 1
T3: 1
T4: 1
T5: 1","T1: 1.907
T2: 1.850
T3: 1.852
T4: 1.849
T5: 1.817","T1: 0.009
T2: 0.014
T3: 0.022
T4: 0.041
T5: 0.110","T1: 1.096
T2: 1.063
T3: 1.072
T4: 1.084
T5: 1.067","T1: 1.102
T2: 1.142
T3: 1.166
T4: 1.189
T5: 1.207","T1: 3.401
T2: 3.527
T3: 3.583
T4: 3.629
T5: 3.697","T1: 7420.190***
T2: 3360.998***
T3: 1477.286***
T4: 436.009***
T5: 64.654***",qq,histogram,box,na,,,,,,,,,,,,,,,,,
GAT_SOLDIERS_V2,Q58,"Emotional Fitness, Catastrophizing, Q58",Answer in terms of how you usually think. - I have no control over the things that happen to me.,Scored: Yes,GAT 1.0 (Soldier),ASRRD,catastrophizing,individual,perceptual,trait,na,Q58.t(1-5),designed,Answer in terms of how you usually think.,I have no control over the things that happen to me.,Q58,"Assesses the stable, global, and internal attributions (i.e., explanatory style) individuals make in response to negative events.",,likert,"23 = 5 = Not like me at all -> 1; 
24 = 4 = A little like me -> 2;
25 = 3 = Somewhat like me -> 3;
26 = 2 = Mostly like me -> 4;
27 = 1 = Very much like me -> 5;",no,Attributional Style Questionnaire,Peterson et al. (2001) ,,Yes,"T1: 52791
T2: 22335
T3: 9434
T4: 2671
T5: 361","T1: 0.002%
T2: 57.692%
T3: 82.130%
T4: 94.941%
T5: 99.316%","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5",na,"T1: 1
T2: 1
T3: 1
T4: 1
T5: 1","T1: 5
T2: 5
T3: 5
T4: 5
T5: 5","T1: 2
T2: 2
T3: 2
T4: 2
T5: 2","T1: 2.030
T2: 2.037
T3: 2.031
T4: 2.045
T5: 2.094","T1: 0.009
T2: 0.015
T3: 0.022
T4: 0.043
T5: 0.118","T1: 1.101
T2: 1.107
T3: 1.105
T4: 1.125
T5: 1.141","T1: 0.875
T2: 0.841
T3: 0.848
T4: 0.865
T5: 0.815","T1: 3.003
T2: 2.907
T3: 2.936
T4: 2.937
T5: 2.889","T1: 5089.624***
T2: 2030.956***
T3: 868.582***
T4: 254.866***
T5: 32.754***",qq,histogram,box,na,,,,,,,,,,,,,,,,,
